HDPE_wt_percent	LDPE_wt_percent	PP_wt_percent	PS_wt_percent	PVC_wt_percent	PET_wt_percent	Temperature_C	Heating_Rate_C_per_min	Particle_Size_mm	Feed_Size_g	Catalyst	Reactor_Type	Oil_Yield_percent	Source
0.0	100.0	0.0	0.0	0.0	0.0	500.0	10.0	2.5		No	Fixed Bed	95.0	1
0.0	100.0	0.0	0.0	0.0	0.0	400.0	10.0	2.5		Yes	Fixed Bed	84.0	1
0.0	100.0	0.0	0.0	0.0	0.0	450.0	10.0	2.5		Yes	Fixed Bed	81.0	1
0.0	100.0	0.0	0.0	0.0	0.0	500.0	10.0	2.5		Yes	Fixed Bed	80.0	1
0.0	100.0	0.0	0.0	0.0	0.0	550.0	10.0	2.5		Yes	Fixed Bed	76.0	1
0.0	100.0	0.0	0.0	0.0	0.0	600.0	10.0	2.5		Yes	Fixed Bed	71.0	1
0.0	100.0	0.0	0.0	0.0	0.0	400.0	10.0	2.5		Yes	Fixed Bed	83.0	1
0.0	100.0	0.0	0.0	0.0	0.0	450.0	10.0	2.5		Yes	Fixed Bed	80.0	1
0.0	100.0	0.0	0.0	0.0	0.0	500.0	10.0	2.5		Yes	Fixed Bed	77.0	1
0.0	100.0	0.0	0.0	0.0	0.0	550.0	10.0	2.5		Yes	Fixed Bed	72.0	1
0.0	100.0	0.0	0.0	0.0	0.0	600.0	10.0	2.5		Yes	Fixed Bed	70.0	1
0.0	100.0	0.0	0.0	0.0	0.0	500.0				No	Fluidized Bed	81.2	2
0.0	100.0	0.0	0.0	0.0	0.0	550.0				No	Fluidized Bed	73.9	2
0.0	100.0	0.0	0.0	0.0	0.0	550.0				No	Fluidized Bed	72.7	2
0.0	100.0	0.0	0.0	0.0	0.0	550.0				No	Fluidized Bed	65.3	2
0.0	100.0	0.0	0.0	0.0	0.0	550.0				No	Fluidized Bed	64.7	2
0.0	100.0	0.0	0.0	0.0	0.0	600.0				No	Fluidized Bed	28.5	2
100.0	0.0	0.0	0.0	0.0	0.0	500.0	5.0	3.0	100.0	No	Fixed Bed	62.0	3
100.0	0.0	0.0	0.0	0.0	0.0	550.0	5.0	3.0	100.0	No	Fixed Bed	71.0	3
100.0	0.0	0.0	0.0	0.0	0.0	600.0	5.0	3.0	100.0	No	Fixed Bed	69.0	3
100.0	0.0	0.0	0.0	0.0	0.0	650.0	5.0	3.0	100.0	No	Fixed Bed	68.0	3
100.0	0.0	0.0	0.0	0.0	0.0	700.0	5.0	3.0	100.0	No	Fixed Bed	69.0	3
